É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2025/08/16 05:18:48

,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ
2019/3/25,9.0,8,1,0,1,8,1,,0,1,1.8,8,1,49,8,1,,0,1
2019/3/26,11.4,8,1,0,1,8,1,,0,1,2.4,8,1,49,8,1,,0,1
2019/3/27,14.2,8,1,0,1,8,1,,0,1,3.8,8,1,32,8,1,,0,1
2019/3/28,11.9,8,1,0,1,8,1,,0,1,4.9,8,1,38,8,1,,0,1
2019/3/29,7.6,8,1,0,1,8,1,,0,1,2.4,8,1,46,8,1,,0,1
2019/3/30,7.2,8,1,3.0,0,8,1,,0,1,2.0,8,1,73,8,1,,0,1
2019/3/31,10.1,8,1,0.0,0,8,1,,0,1,2.8,8,1,66,8,1,,0,1
2019/4/1,8.5,8,1,2.5,0,8,1,,0,1,3.5,8,1,54,8,1,,0,1
2019/4/2,6.9,8,1,0,1,8,1,,0,1,4.7,8,1,46,8,1,,0,1
2019/4/3,6.9,8,1,0,1,8,1,,0,1,4.1,8,1,42,8,1,,0,1
2019/4/4,10.3,8,1,0,1,8,1,,0,1,2.6,8,1,40,8,1,,0,1
2019/4/5,15.5,8,1,0,1,8,1,,0,1,3.0,8,1,34,8,1,,0,1
2019/4/6,15.6,8,1,0,1,8,1,,0,1,4.1,8,1,28,8,1,,0,1
2019/4/7,14.5,8,1,0.0,0,8,1,,0,1,1.6,8,1,45,8,1,,0,1
2019/4/8,9.6,8,1,1.5,0,8,1,,0,1,2.5,8,1,69,8,1,,0,1
2019/4/9,10.0,8,1,0,1,8,1,,0,1,4.5,8,1,46,8,1,,0,1
2019/4/10,3.7,8,1,20.0,0,8,1,,0,1,1.7,8,1,85,8,1,,0,1
2019/4/11,9.6,8,1,1.0,0,8,1,,0,1,6.0,8,1,53,8,1,,0,1
2019/4/12,9.1,8,1,0,1,8,1,,0,1,1.7,8,1,52,8,1,,0,1
2019/4/13,11.8,8,1,0,1,8,1,,0,1,2.7,8,1,42,8,1,,0,1
2019/4/14,13.6,8,1,0.0,0,8,1,,0,1,2.3,8,1,56,8,1,,0,1
2019/4/15,15.4,8,1,0.0,0,8,1,,0,1,4.1,8,1,47,8,1,,0,1
2019/4/16,15.5,8,1,0,1,8,1,,0,1,3.5,8,1,39,8,1,,0,1
2019/4/17,14.8,8,1,0.0,0,8,1,,0,1,1.9,8,1,59,8,1,,0,1
2019/4/18,17.1,8,1,0,1,8,1,,0,1,2.2,5,1,55,8,1,,0,1
2019/4/19,17.5,8,1,0.5,0,8,1,,0,1,1.9,8,1,61,8,1,,0,1
2019/4/20,14.9,8,1,0,1,8,1,,0,1,3.4,8,1,55,8,1,,0,1
2019/4/21,16.6,8,1,0,1,8,1,,0,1,1.9,8,1,64,8,1,,0,1
2019/4/22,19.5,8,1,1.5,0,8,1,,0,1,2.3,8,1,63,8,1,,0,1
2019/4/23,19.5,8,1,0.0,0,8,1,,0,1,2.8,8,1,54,8,1,,0,1
2019/4/24,17.8,8,1,6.0,0,8,1,,0,1,2.3,8,1,83,8,1,,0,1
2019/4/25,21.3,8,1,2.0,0,8,1,,0,1,1.8,8,1,80,8,1,,0,1
2019/4/26,12.4,8,1,14.5,0,8,1,,0,1,3.3,8,1,94,8,1,,0,1
2019/4/27,10.9,8,1,6.0,0,8,1,,0,1,4.2,8,1,63,8,1,,0,1
2019/4/28,12.9,8,1,0,1,8,1,,0,1,4.1,8,1,42,8,1,,0,1
2019/4/29,15.0,8,1,0.0,0,8,1,,0,1,3.0,8,1,61,8,1,,0,1
2019/4/30,14.4,8,1,23.5,0,8,1,,0,1,2.9,8,1,96,8,1,,0,1
2019/5/1,18.0,8,1,8.0,0,8,1,,0,1,1.9,8,1,86,8,1,,0,1
2019/5/2,18.6,8,1,0.0,0,8,1,,0,1,3.3,8,1,51,8,1,,0,1
2019/5/3,19.0,8,1,0,1,8,1,,0,1,2.6,8,1,48,8,1,,0,1
2019/5/4,18.0,8,1,0.0,0,8,1,,0,1,2.5,8,1,60,8,1,,0,1
2019/5/5,18.7,8,1,0,1,8,1,,0,1,2.6,8,1,59,8,1,,0,1
2019/5/6,17.9,8,1,0.0,0,8,1,,0,1,2.8,8,1,68,8,1,,0,1
2019/5/7,14.7,8,1,0,1,8,1,,0,1,4.3,8,1,41,8,1,,0,1
2019/5/8,16.3,8,1,0,1,8,1,,0,1,2.8,8,1,39,8,1,,0,1
2019/5/9,18.0,8,1,0,1,8,1,,0,1,1.7,8,1,52,8,1,,0,1
2019/5/10,21.3,8,1,0,1,8,1,,0,1,2.9,8,1,39,8,1,,0,1
2019/5/11,21.4,8,1,0,1,8,1,,0,1,2.5,8,1,46,8,1,,0,1
2019/5/12,17.7,8,1,0,1,8,1,,0,1,3.4,8,1,60,8,1,,0,1
2019/5/13,18.4,8,1,0.0,0,8,1,,0,1,3.1,8,1,61,8,1,,0,1
2019/5/14,18.1,8,1,0.0,0,8,1,,0,1,1.8,8,1,78,8,1,,0,1
2019/5/15,19.8,8,1,0.0,0,8,1,,0,1,2.3,8,1,68,8,1,,0,1
2019/5/16,20.4,8,1,0,1,8,1,,0,1,2.3,8,1,63,8,1,,0,1
2019/5/17,21.0,8,1,0,1,8,1,,0,1,2.5,8,1,62,8,1,,0,1
2019/5/18,20.6,8,1,0,1,8,1,,0,1,3.0,8,1,63,8,1,,0,1
2019/5/19,21.1,8,1,0,1,8,1,,0,1,3.5,8,1,60,8,1,,0,1
2019/5/20,19.9,8,1,5.0,0,8,1,,0,1,3.6,8,1,71,8,1,,0,1
2019/5/21,19.1,8,1,72.0,0,8,1,,0,1,2.9,8,1,93,8,1,,0,1
2019/5/22,19.5,8,1,0,1,8,1,,0,1,2.4,8,1,59,8,1,,0,1
2019/5/23,21.5,8,1,0,1,8,1,,0,1,2.7,8,1,47,8,1,,0,1
2019/5/24,23.3,8,1,0,1,8,1,,0,1,2.5,8,1,39,8,1,,0,1
2019/5/25,25.1,8,1,0,1,8,1,,0,1,2.1,8,1,39,8,1,,0,1
2019/5/26,26.4,8,1,0,1,8,1,,0,1,2.0,8,1,44,8,1,,0,1
2019/5/27,27.1,8,1,0,1,8,1,,0,1,2.7,8,1,47,8,1,,0,1
2019/5/28,24.6,8,1,0.0,0,8,1,,0,1,1.7,8,1,58,8,1,,0,1
2019/5/29,21.6,8,1,1.0,0,8,1,,0,1,3.0,8,1,66,8,1,,0,1
2019/5/30,21.2,8,1,0,1,8,1,,0,1,3.1,8,1,50,8,1,,0,1
2019/5/31,21.0,8,1,0.0,0,8,1,,0,1,2.0,8,1,70,8,1,,0,1
2019/6/1,22.4,8,1,0,1,8,1,,0,1,2.8,8,1,64,8,1,,0,1
2019/6/2,22.4,8,1,0,1,8,1,,0,1,1.7,8,1,67,8,1,,0,1
2019/6/3,23.6,8,1,0.0,0,8,1,,0,1,2.6,8,1,65,8,1,,0,1
2019/6/4,23.6,8,1,0,1,8,1,,0,1,2.6,8,1,68,8,1,,0,1
2019/6/5,23.3,8,1,0,1,8,1,,0,1,1.8,8,1,71,8,1,,0,1
2019/6/6,26.6,8,1,0,1,8,1,,0,1,3.2,8,1,56,8,1,,0,1
2019/6/7,20.3,8,1,35.0,0,8,1,,0,1,2.4,8,1,91,8,1,,0,1
2019/6/8,21.6,8,1,0.0,0,8,1,,0,1,1.9,8,1,82,8,1,,0,1
2019/6/9,17.4,8,1,12.5,0,8,1,,0,1,2.4,8,1,89,8,1,,0,1
2019/6/10,16.4,8,1,50.5,0,8,1,,0,1,2.0,8,1,96,8,1,,0,1
2019/6/11,18.8,8,1,1.0,0,8,1,,0,1,2.5,8,1,73,8,1,,0,1
2019/6/12,18.9,8,1,0.0,0,8,1,,0,1,2.1,8,1,73,8,1,,0,1
2019/6/13,21.9,8,1,0,1,8,1,,0,1,2.5,8,1,65,8,1,,0,1
2019/6/14,22.9,8,1,0.0,0,8,1,,0,1,3.1,8,1,65,8,1,,0,1
2019/6/15,16.9,8,1,42.0,0,8,1,,0,1,2.3,8,1,95,8,1,,0,1
2019/6/16,23.0,8,1,4.5,0,8,1,,0,1,3.2,8,1,63,8,1,,0,1
2019/6/17,23.0,8,1,0,1,8,1,,0,1,3.7,8,1,46,8,1,,0,1
2019/6/18,23.2,8,1,0,1,8,1,,0,1,2.5,8,1,61,8,1,,0,1
2019/6/19,24.3,8,1,0.0,0,8,1,,0,1,2.2,8,1,67,8,1,,0,1
2019/6/20,24.5,8,1,0.0,0,8,1,,0,1,2.6,8,1,71,8,1,,0,1
2019/6/21,23.4,8,1,7.0,0,8,1,,0,1,2.5,8,1,83,8,1,,0,1
2019/6/22,22.0,8,1,8.0,0,8,1,,0,1,2.8,8,1,87,8,1,,0,1
2019/6/23,21.3,8,1,0.0,0,8,1,,0,1,2.3,8,1,85,8,1,,0,1
2019/6/24,19.2,8,1,48.5,0,8,1,,0,1,1.7,8,1,94,8,1,,0,1
2019/6/25,22.8,8,1,0,1,8,1,,0,1,2.0,8,1,75,8,1,,0,1
2019/6/26,25.4,8,1,0.0,0,8,1,,0,1,2.3,8,1,69,8,1,,0,1
2019/6/27,25.1,8,1,2.0,0,8,1,,0,1,1.3,8,1,80,8,1,,0,1
2019/6/28,24.8,8,1,1.0,0,8,1,,0,1,2.2,8,1,87,8,1,,0,1
2019/6/29,20.4,8,1,2.0,0,8,1,,0,1,1.6,8,1,93,8,1,,0,1
2019/6/30,22.6,8,1,10.5,0,8,1,,0,1,1.2,8,1,91,8,1,,0,1
2019/7/1,23.5,8,1,0.0,0,8,1,,0,1,1.8,8,1,91,8,1,,0,1
2019/7/2,25.3,8,1,0.0,0,8,1,,0,1,1.5,8,1,84,8,1,,0,1
2019/7/3,25.1,8,1,3.5,0,8,1,,0,1,2.2,8,1,79,8,1,,0,1
2019/7/4,22.0,8,1,36.0,0,8,1,,0,1,1.8,8,1,94,8,1,,0,1
2019/7/5,21.9,8,1,0.0,0,8,1,,0,1,2.1,8,1,85,8,1,,0,1
2019/7/6,22.7,8,1,1.5,0,8,1,,0,1,2.2,8,1,78,8,1,,0,1
2019/7/7,20.8,8,1,5.0,0,8,1,,0,1,2.2,8,1,87,8,1,,0,1
2019/7/8,21.3,8,1,0.0,0,8,1,,0,1,2.2,8,1,76,8,1,,0,1
2019/7/9,19.5,8,1,0.0,0,8,1,,0,1,1.5,8,1,80,8,1,,0,1
2019/7/10,20.8,8,1,0,1,8,1,,0,1,2.0,8,1,74,8,1,,0,1
2019/7/11,19.5,8,1,2.0,0,8,1,,0,1,1.6,8,1,86,8,1,,0,1
2019/7/12,20.3,8,1,3.5,0,8,1,,0,1,1.1,8,1,91,8,1,,0,1
2019/7/13,23.7,8,1,0.5,0,8,1,,0,1,2.0,8,1,83,8,1,,0,1
2019/7/14,22.1,8,1,14.0,0,8,1,,0,1,1.8,8,1,94,8,1,,0,1
2019/7/15,22.1,8,1,4.5,0,8,1,,0,1,2.1,8,1,89,8,1,,0,1
2019/7/16,21.7,8,1,8.5,0,8,1,,0,1,1.6,8,1,89,8,1,,0,1
2019/7/17,25.4,8,1,0,1,8,1,,0,1,2.0,8,1,79,8,1,,0,1
2019/7/18,24.6,8,1,10.0,0,8,1,,0,1,1.5,8,1,88,8,1,,0,1
2019/7/19,26.6,8,1,3.0,0,8,1,,0,1,1.5,8,1,86,8,1,,0,1
2019/7/20,27.1,8,1,0.0,0,8,1,,0,1,1.7,8,1,84,8,1,,0,1
2019/7/21,24.6,8,1,1.0,0,8,1,,0,1,2.3,8,1,91,8,1,,0,1
2019/7/22,22.6,8,1,2.0,0,8,1,,0,1,1.3,8,1,97,8,1,,0,1
2019/7/23,26.0,8,1,0.0,0,8,1,,0,1,1.9,8,1,86,8,1,,0,1
2019/7/24,26.6,8,1,9.5,0,8,1,,0,1,2.1,8,1,87,8,1,,0,1
2019/7/25,28.2,8,1,0.0,0,8,1,,0,1,1.9,8,1,78,8,1,,0,1
2019/7/26,29.0,8,1,0.5,0,8,1,,0,1,3.3,8,1,73,8,1,,0,1
2019/7/27,28.4,8,1,44.5,0,8,1,,0,1,3.5,8,1,80,8,1,,0,1
2019/7/28,29.3,8,1,13.0,0,8,1,,0,1,2.4,8,1,78,8,1,,0,1
2019/7/29,29.4,8,1,4.5,0,8,1,,0,1,1.9,8,1,77,8,1,,0,1
2019/7/30,30.4,8,1,0,1,8,1,,0,1,2.3,8,1,75,8,1,,0,1
2019/7/31,31.3,8,1,0,1,8,1,,0,1,2.1,8,1,73,8,1,,0,1
2019/8/1,31.2,8,1,0.0,0,8,1,,0,1,1.8,8,1,72,8,1,,0,1
2019/8/2,31.4,8,1,0,1,8,1,,0,1,2.0,8,1,70,8,1,,0,1
2019/8/3,31.2,8,1,0,1,8,1,,0,1,2.1,8,1,71,8,1,,0,1
2019/8/4,30.8,8,1,0,1,8,1,,0,1,2.3,8,1,69,8,1,,0,1
2019/8/5,30.7,8,1,0,1,8,1,,0,1,2.7,8,1,68,8,1,,0,1
2019/8/6,31.3,8,1,0,1,8,1,,0,1,2.1,8,1,70,8,1,,0,1
2019/8/7,31.1,8,1,0,1,8,1,,0,1,1.5,8,1,69,8,1,,0,1
2019/8/8,31.2,8,1,0.0,0,8,1,,0,1,2.3,8,1,67,8,1,,0,1
2019/8/9,31.2,8,1,0.0,0,8,1,,0,1,2.5,8,1,65,8,1,,0,1
2019/8/10,30.8,8,1,0,1,8,1,,0,1,2.3,8,1,69,8,1,,0,1
2019/8/11,29.2,8,1,0.0,0,8,1,,0,1,3.0,8,1,76,8,1,,0,1
2019/8/12,29.5,8,1,0.0,0,8,1,,0,1,2.5,8,1,75,8,1,,0,1
2019/8/13,30.1,8,1,0.5,0,8,1,,0,1,2.2,8,1,77,8,1,,0,1
2019/8/14,27.7,8,1,68.0,0,8,1,,0,1,2.6,8,1,92,8,1,,0,1
2019/8/15,28.7,8,1,12.5,0,8,1,,0,1,4.9,8,1,84,8,1,,0,1
2019/8/16,28.9,8,1,3.5,0,8,1,,0,1,3.4,8,1,81,8,1,,0,1
2019/8/17,30.8,8,1,0,1,8,1,,0,1,2.0,8,1,71,8,1,,0,1
2019/8/18,30.1,8,1,0.0,0,8,1,,0,1,2.0,8,1,70,8,1,,0,1
2019/8/19,28.1,8,1,14.0,0,8,1,,0,1,2.7,8,1,79,8,1,,0,1
2019/8/20,24.8,8,1,7.5,0,8,1,,0,1,1.6,8,1,92,8,1,,0,1
2019/8/21,26.3,8,1,5.5,0,8,1,,0,1,2.2,8,1,87,8,1,,0,1
2019/8/22,25.4,8,1,0.5,0,8,1,,0,1,1.2,8,1,86,8,1,,0,1
2019/8/23,25.8,8,1,4.5,0,8,1,,0,1,1.6,8,1,89,8,1,,0,1
2019/8/24,27.4,8,1,0.5,0,8,1,,0,1,2.0,8,1,70,8,1,,0,1
2019/8/25,26.6,8,1,0.0,0,8,1,,0,1,2.5,8,1,68,8,1,,0,1
2019/8/26,25.7,8,1,0.0,0,8,1,,0,1,2.4,8,1,73,8,1,,0,1
2019/8/27,25.3,8,1,1.0,0,8,1,,0,1,1.8,8,1,77,8,1,,0,1
2019/8/28,24.1,8,1,1.0,0,8,1,,0,1,1.4,8,1,90,8,1,,0,1
2019/8/29,28.2,8,1,1.0,0,8,1,,0,1,1.6,8,1,78,8,1,,0,1
2019/8/30,25.5,8,1,3.5,0,8,1,,0,1,1.3,8,1,91,8,1,,0,1
2019/8/31,27.4,8,1,0.0,0,8,1,,0,1,1.9,8,1,80,8,1,,0,1
2019/9/1,27.3,8,1,0.0,0,8,1,,0,1,1.4,8,1,67,8,1,,0,1
2019/9/2,27.3,8,1,0.0,0,8,1,,0,1,1.6,8,1,71,8,1,,0,1
2019/9/3,24.7,8,1,3.0,0,8,1,,0,1,1.9,8,1,87,8,1,,0,1
2019/9/4,23.3,8,1,0.0,0,8,1,,0,1,1.6,8,1,87,8,1,,0,1
2019/9/5,25.2,8,1,0.0,0,8,1,,0,1,1.4,8,1,79,8,1,,0,1
2019/9/6,28.4,8,1,0,1,8,1,,0,1,2.0,8,1,72,8,1,,0,1
2019/9/7,29.1,8,1,0,1,8,1,,0,1,2.0,8,1,73,8,1,,0,1
2019/9/8,28.5,8,1,1.0,0,8,1,,0,1,2.3,8,1,82,8,1,,0,1
2019/9/9,29.7,8,1,39.5,0,8,1,,0,1,5.3,8,1,70,8,1,,0,1
2019/9/10,29.7,8,1,22.5,0,8,1,,0,1,2.5,8,1,69,8,1,,0,1
2019/9/11,27.0,8,1,21.0,0,8,1,,0,1,1.7,8,1,87,8,1,,0,1
2019/9/12,26.1,8,1,0,1,8,1,,0,1,3.7,8,1,61,8,1,,0,1
2019/9/13,21.9,8,1,0,1,8,1,,0,1,2.0,8,1,75,8,1,,0,1
2019/9/14,21.4,8,1,0.0,0,8,1,,0,1,1.5,8,1,83,8,1,,0,1
2019/9/15,25.7,8,1,0,1,8,1,,0,1,1.8,8,1,71,8,1,,0,1
2019/9/16,25.3,8,1,4.0,0,8,1,,0,1,1.7,8,1,81,8,1,,0,1
2019/9/17,26.6,8,1,0.0,0,8,1,,0,1,2.5,8,1,71,8,1,,0,1
2019/9/18,22.2,8,1,3.5,0,8,1,,0,1,1.7,8,1,80,8,1,,0,1
2019/9/19,22.3,8,1,0.0,0,8,1,,0,1,2.1,8,1,71,8,1,,0,1
2019/9/20,22.6,8,1,0.0,0,8,1,,0,1,1.7,8,1,65,8,1,,0,1
2019/9/21,21.4,8,1,0.0,0,8,1,,0,1,1.4,8,1,75,8,1,,0,1
2019/9/22,22.4,8,1,13.0,0,8,1,,0,1,1.6,8,1,77,8,1,,0,1
2019/9/23,23.1,8,1,2.0,0,8,1,,0,1,2.2,8,1,90,8,1,,0,1
2019/9/24,24.5,8,1,0.5,0,8,1,,0,1,1.8,8,1,75,8,1,,0,1
2019/9/25,24.4,8,1,0,1,8,1,,0,1,2.6,8,1,56,8,1,,0,1
2019/9/26,21.9,8,1,0,1,8,1,,0,1,2.0,8,1,68,8,1,,0,1
2019/9/27,23.0,8,1,0,1,8,1,,0,1,1.6,8,1,73,8,1,,0,1
2019/9/28,23.1,8,1,0,1,8,1,,0,1,1.3,8,1,75,8,1,,0,1
